,Date,BTC High,BTC Low,BTC Close,BTC Volume,Gold Close,Gold High,Gold Low,Gold Volume,Spy Close,Spy High,Spy Low,Spy Volume,R Close,R High,R Low,VIX High,VIX Low,VIX Close
107,2022-04-19,40883.99,40571.0,40683.14,3258.67641,1965.8,1991.6,1952.8,5380.0,595.66,598.58,595.66,230.0,2.94,2.948,2.836,22.92,20.36,21.37
108,2022-04-20,41631.47,41261.58,41340.05,4742.30148,1962.3,1967.3,1947.8,5750.0,597.24,610.0,597.0,310.0,2.834,2.981,2.819,21.32,19.75,20.32
109,2022-04-21,41940.0,41419.2,41855.69,5346.09608,1955.0,1966.2,1944.8,11800.0,600.01,601.3,598.28,230.0,2.908,2.954,2.836,23.28,19.81,22.68
110,2022-04-22,40795.06,40293.0,40709.59,5959.19943,1941.4,1964.5,1935.0,12260.0,595.64,596.85,590.02,200.0,2.905,2.974,2.864,28.27,22.62,28.21
111,2022-04-23,39687.77,39285.0,39600.98,3627.32893,,,,,,,,,,,,,,
112,2022-04-24,39815.42,39629.99,39751.38,2413.5113,,,,,,,,,,,,,,
113,2022-04-25,39256.28,38200.0,38453.92,9507.95589,,,,,,,,,,,,,,
114,2022-04-26,40690.47,40375.01,40584.5,5433.72885,1911.1,1918.7,1904.2,8900.0,593.21,597.1,593.21,230.0,2.728,2.866,2.724,33.81,27.06,33.52
115,2022-04-27,39113.72,38311.3,39112.74,6536.97348,1895.6,1914.8,1888.8,5840.0,582.78,584.87,582.4,300.0,2.826,2.839,2.715,32.77,29.82,31.6
116,2022-04-28,39660.0,39226.49,39385.01,4240.94553,1898.3,1904.3,1877.8,6720.0,594.0,594.0,590.0,1100.0,2.832,2.888,2.796,32.0,28.0,29.99
117,2022-04-29,39641.3,39368.97,39610.14,5026.65712,1918.6,1928.2,1900.6,7740.0,596.53,599.98,596.53,90.0,2.938,2.943,2.831,34.34,28.54,33.4
118,2022-04-30,38778.79,38493.52,38650.34,3215.15217,,,,,,,,,,,,,,
119,2022-05-01,38165.12,37885.3,37970.27,6005.17866,,,,,,,,,,,,,,
120,2022-05-02,39167.34,38600.03,38881.47,6527.84754,1870.6,1907.4,1860.8,9780.0,586.5,595.7,582.78,460.0,2.977,3.01,2.907,36.64,31.74,32.34
121,2022-05-03,38579.77,38385.67,38559.99,4009.05189,1877.8,1885.0,1856.7,24900.0,583.92,590.24,583.0,660.0,2.979,3.01,2.913,32.82,29.06,29.25
122,2022-05-04,38757.27,37944.25,38701.32,9474.43576,1876.2,1898.8,1868.8,29350.0,585.5,588.13,585.5,40.0,2.946,3.011,2.901,29.42,24.94,25.42
